"model","r.squared","adj.r.squared","sigma","statistic","p.value","AIC","BIC"
"Simple: Price ~ BuildingArea",0.190609114615172,0.188539061199865,731267.328904455,92.0793218212452,1.01362882248199e-19,11732.2725993756,11744.1940282112
"Multiple: Price ~ BuildingArea + Suburb",0.43919736463716,0.434872408580377,610261.00083825,101.54955538759,1.45896858945481e-48,11592.0758153608,11611.9448634201
"Extended: Price ~ BuildingArea + Suburb + Car",0.484863329186757,0.479552641858785,585640.045031988,91.2995435888242,1.23302623463185e-54,11560.6956571562,11584.5385148274
